Country, Variable, Unit, Symbol," ""1965"""," ""1970"""," ""1975"""," ""1980"""," ""1985"""," ""1995"""," ""2000"""," ""2002"""," ""2005"""," ""2007"""," ""2010"""," ""2012"""," ""2015"""," ""2017"""," ""2020"""
Burundi, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,11.92,12.88,14.66,16.8,21.17,22.64,25.65,28.71,28.09,32.96
Burundi, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,3.19,3.47,3.71,4.5,4.79,5.37,5.95,6.13,7.18
Burundi, SDG 6.4.2. Water Stress, %, E, , , , , ,7.85,10.48,10.37,10.19,10.19,10.19,10.19,10.19,10.19,10.19
Cabo Verde, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,6.67, , , , , , , , 
Cabo Verde, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,7, ,7.5,8.33,8.33,8.33,8.33,8.33,8.33,8.33
Cabo Verde, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , , , ,407.32,470.1,560.84,620.8,577.72,591.51,680.23,820.88
Cabo Verde, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.31,0.47,0.38,0.36,0.34,0.34,0.38,0.4,0.34,0.23
Cabo Verde, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , , ,379.77,465.62,535.1,579.71,626.53,636.63,690.32,630.32
Cabo Verde, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , ,31.8,34.89,40.33,43.87,46.04,46.86,51.3,49.72
Cabo Verde, SDG 6.4.2. Water Stress, %, E, , , , , , , ,7.6,8.43,8.43,8.43,8.43,8.43,8.43,8.43
Cambodia, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , , , ,0.43,0.43,0.43,0.43,0.43,0.43
Cambodia, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,29.46,52.33,59.63,71.79,83.34,82.49,99.84,148.39,189.46,237.64
Cambodia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , , ,0.25,0.32,0.36,0.35,0.36,0.39
Cambodia, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,25.81,29.49,32.73,38.78,44.95,50.57,57.32,74.38,84.86,86.32
Cambodia, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , , , , , ,3.51,3.82,4.42,5.91,7.01,7.83
Cambodia, SDG 6.4.2. Water Stress, %, E, , , , , , , , , ,1.04,1.04,1.04,1.04,1.04,1.04
Cameroon, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,0.26, , , , , , , , 
Cameroon, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,0.13, ,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
Cameroon, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,45.59,70.02,56.88,51.39,56.92,59.72,67.22,70.31,76.58,80.78
Cameroon, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05
Cameroon, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,39.35,48.1,45.98,42.93,45.72,52.06,56.58,66.95,72.62,76.07
Cameroon, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,12.99,13.51,14.69,15.86,17.57,19.31,21.97,23.86,25.05
Cameroon, SDG 6.4.2. Water Stress, %, E, , , , , ,0.88,1.39,1.46,1.56,1.56,1.56,1.56,1.56,1.56,1.56
Canada, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , , , , ,0.08,0.16, ,0.09,0.13, 
Canada, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,0.14,0.12,0.11,0.09, , ,0.13, , ,0.13
Canada, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,7.18,9.93,9.53,10.78,10.94,10.97,12.14,12.4,12.75,12.68
Canada, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , , ,0.4,0.18,0.22,0.37,0.29,0.24
Canada, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,119.6,134.69,142.36,147.79,154.5,179.25,195.42,215.39,230.25,228.8
Canada, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , , ,30.77,31.78,35.24,40.49,40.75,40.38
Canada, SDG 6.4.2. Water Stress, %, E, , , , , ,4.41,4.31,4.3,4.27,4.26,3.83,3.75,3.68,3.73,3.73
Central African Republic, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , , , , , , , , , , 
Central African Republic, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , , , , , , , , , 
Central African Republic, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,57.07,32.51,29.74,27.31,34.5,46.55,57.64,30.25,31.16,33.67
Central African Republic, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.13,0.16,0.17,0.17,0.17,0.17,0.19,0.11,0.12,0.13
Central African Republic, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,17.34,14.5,13.37,11.72,12.27,12.61,13.28,12.39,13.44,14.5
Central African Republic, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , ,24.05,17.4,16.01,14.24,15.88,18.16,20.55,15.28,16.3,17.59
Central African Republic, SDG 6.4.2. Water Stress, %, E, , , , , ,0.22,0.31,0.32,0.34,0.34,0.34,0.34,0.34,0.34,0.34
Chad, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , , ,1.47,1.47, , , , , , 
Chad, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,0.94,1.32, , ,1.47,1.47,1.47,1.47,1.47,1.47
Chad, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,8.56,5.26,7.25,21.23,26.62,28.79,39.76,35.02,20.6,23.47
Chad, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.05
Chad, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,27.89,21.35,24.45,23.49,25.81,21.4,32.66,43.35,47.35,65.01
Chad, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,4.22,3.04,3.5,5.29,6.2,5.95,8.57,9.28,8.05,10.47
Chad, SDG 6.4.2. Water Stress, %, E, , , , , ,2.68,3.81,4.21,4.29,4.29,4.29,4.29,4.29,4.29,4.29
Chile, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,2.13,2.61,2.8,3.09,3.19,3.19,3.19,3.19,3.19,3.19
Chile, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , ,14.75,13.62,10.19,16.4,17.66,14.27,13.15,15.92,18.75,23.19,33.23,40.08,42.34
Chile, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , , ,0.18,0.18,0.18,0.21,0.24,0.23
Chile, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , ,20.62,31.11,27.17,50.54,69.27,67.72,72.59,74.51,88.11,102.62,115.26,118.47,114.26
Chile, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , , ,4.85,5.37,6.07,6.73,6.99,6.93
Chile, SDG 6.4.2. Water Stress, %, E, , , , , ,5.98,7.35,7.9,8.71,8.98,8.98,8.98,8.98,8.98,8.98
China, Agricultural water withdrawal as % of total renewable water resources, %, E, , , ,13.77,14.62, ,13.32, ,12.6,12.68,12.99,13.66,13.56,13.26,12.72
China, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,14.06, ,13.04, , , , , , , 
China, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , ,4.56,8.39,8.84,11.28,12.35,14.94,17.65,23.06,27.32,32.05,38.15,53.64
China, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , ,0.16,0.22,0.41,0.68,0.82,1.14,1.29,1.39,1.39,1.48,1.62,2.1
China, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , ,13.99,6.91,18.03,19.29,22.57,28.77,36.3,46.42,58.98,73.33,70.67,74.51
China, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , , , , , ,9.66,12.55,14.47,17.84,20.76,25.81
China, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , ,0.83,1.25,3.11,4.82,5.75,7.71, , , , , , 
China, SDG 6.4.2. Water Stress, %, E, , , ,32.41,35.13,38.9,40.23,40.33,40.47,41.53,42.86,43.73,43.22,43.54,41.52
Colombia, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,0.21,0.22,0.25,0.26,0.43,0.58,0.81,0.94,1.06
Colombia, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , , ,110.02,48.74,32.75,28.92,25.1,26.36,21.14,34.75,168.78
Colombia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.28,0.34,0.4,0.44,0.32,0.22,0.13,0.05,0.05
Colombia, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , ,37.67,36.69,36.94,39.54,39.13,39.37,43.49,51.91,50.97
Colombia, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,17.28,15.87,15.51,16.1,12.54,11.06,9.41,9.29,8.63
Colombia, SDG 6.4.2. Water Stress, %, E, , , , , , ,1.16,1.31,1.54,1.69,2.37,2.98,3.89,4.13,4.36
Comoros, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , ,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
Comoros, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , , ,140.85,144.34,148.69,148.55,155.68,170.93,195.89,184.61,189.04
Comoros, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.07,0.07,0.07,0.05,0.06,0.07,0.08,0.09,0.12
Comoros, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , ,69.97,74.18,78.93,74.28,85.63,97.71,112.06,120.32,126.11
Comoros, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,40.66,42.85,45.36,43.11,48.92,55.48,63.62,67.03,70.04
Comoros, SDG 6.4.2. Water Stress, %, I, , , , , , ,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
Congo, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , , , , , , , , , , 
Congo, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , , , , , , , , , 
Congo, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,218.71,359.72,364.14,186.61,186.21,270.91,311.55,226.42,174.19,160.9
Congo, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.2,0.12,0.15,0.12,0.11,0.12,0.13,0.21,0.22,0.18
Congo, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,132.06,66.72,94.61,41.69,45.09,42.35,50.9,78.49,75.53,60.81
Congo, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,140.09,126.26,144.99,77.81,80.06,100.33,116.91,113.79,98.07,84.36
Congo, SDG 6.4.2. Water Stress, %, E, , , , , ,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Costa Rica, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , , , , , , ,1.48,2.04,1.77,1.84
Costa Rica, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , , , , , , , ,116.15,40.49,46.49,44.24
Costa Rica, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , , , , ,0.37,0.38,0.47,0.42
Costa Rica, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , ,24.83,28.2,33.85,40.31,50.27,59.39,60.74,207.01,52.74
Costa Rica, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , , , , , , , , ,15.7,22.4,17.49
Costa Rica, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , , , , ,19.25, , , 
Costa Rica, SDG 6.4.2. Water Stress, %, E, , , , , , , , , , , ,3.99,5.45,4.16,5.35
Croatia, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , , ,0.01,0.01, ,0.01, ,0.07, , 
Croatia, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , , , , , ,0.03, ,0.07,0.07
Croatia, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , , , ,137.97,105.1,92.89,67.71,60.07,44.81,48.37,13.22
Croatia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , , ,10.22,5.54,1.15,0.41,0.48,0.68
Croatia, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , ,43.53,49.1,57.08,61.67,59.94,60.53,67.06,74.51,72.58
Croatia, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , , ,67.26,60.83,57.4,54.49,59.87,34.47
Croatia, SDG 6.4.2. Water Stress, %, E, , , , , , , ,1.28,1.37,1.45,1.5,1.47,1.52,1.5,1.48
Cuba, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,6.99, , , ,6.5,9.36, , , , 
Cuba, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , ,7.15,7.22,7.31, , ,11.02,11.85,11.85,11.85
Cuba, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , ,38.29,23.36,24.3,11.38,14.12,13.81,15.51,19,21.55,23.59,24.55,27.52,25.27
Cuba, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.29,0.23,0.13,0.11,0.15,0.19,0.2,0.2,0.17
Cuba, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , ,32.16,27.78,33.06,14.06,17.94,19.63,25.32,30.72,33.09,34.64,38.11,37.98,34.34
Cuba, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,8.19,8.61,10.56,13.56,12.12,11.62,12.05,12.33,11.19
Cuba, SDG 6.4.2. Water Stress, %, E, , , , , ,17.93,18.02,18.05,18.1,16.98,20.71,22.86,23.94,23.94,23.94
Cyprus, Agricultural water withdrawal as % of total renewable water resources, %, E, , ,16.67,17.95,19.87, ,18.55,20.59,21.21,18.33,19.15,21.92,25,23.85,22.05
Cyprus, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,19.59, , , , , , , , , 
Cyprus, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,508.82,706.45,559.71,454.99,426.15,504.34,476.92,262.66,125.24,153.5
Cyprus, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,1.44,1.5,1.54,1.26,0.97,1.11,0.87,0.59,0.71,0.8
Cyprus, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , ,70.34,80.3,98.6,176.13,239.94,255.44,235.16,215.61,320.8,204.6,155.7,154.24,173.41
Cyprus, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,54.13,70.94,69.52,71.39,81.68,91.76,71.95,58.19,64.74,74.94
Cyprus, SDG 6.4.2. Water Stress, %, E, , ,21.19,24.19,27.34,26.6,22.01,23.33,22.79,22.43,27.46,34.9,31.71,29.52,37.59
Czechia, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,0.28,0.11,0.14, ,0.23,0.28,0.33,0.41,0.35,0.3
Czechia, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , , ,0.19, , , , , , 
Czechia, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,21.67,26.79,28.38,35.81,42.92,43.94,46.62,59.91,60.99,80.01
Czechia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , ,1.53,1.6,0.95,1.15,1.21,1.51,1.53
Czechia, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,60.76,82.45,94.48,117.96,142.29,157.85,162.7,177.98,193.07,198.81
Czechia, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , ,65.66,77.49,84.55,83.17,103.27,109.27,132.47
Czechia, SDG 6.4.2. Water Stress, %, E, , , , , ,20.86,32.57,29.02,29.58,29.95,29.67,27.99,24.33,24.79,20.77
Côte d'Ivoire, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,0.71, ,0.71, , , , , , 
Côte d'Ivoire, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,0.91, ,0.71, ,0.71,0.71,0.71,0.71,0.71,0.71
Côte d'Ivoire, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,12.91,19.95,14.57,14.78,16.4,19.27,23.83,35.28,39.16,45.89
Côte d'Ivoire, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.1,0.13,0.14,0.11,0.1,0.13,0.14,0.22,0.26,0.32
Côte d'Ivoire, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,39.79,19.25,16.19,16.74,19.31,27.62,40.89,79.55,91.92,104.55
Côte d'Ivoire, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , , , , , , , , ,29.37,33.6,38.51
Côte d'Ivoire, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,9.91,11.24,9.32,9.95,10.89,13.58,17.8, , , 
Côte d'Ivoire, SDG 6.4.2. Water Stress, %, E, , , , , ,5.52,6.17,6.41,6.78,6.4,5.84,5.46,5.09,5.09,5.09
Democratic People's Republic of Korea, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,8.57, , ,8.57, , , , , , 
Democratic People's Republic of Korea, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , ,8.57,8.57, ,8.57,8.57,8.57,8.57,8.57,8.57
Democratic People's Republic of Korea, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,3.55,4.17,4.47,5.34,5.45,6.11,6.15,5.92,5.77,5
Democratic People's Republic of Korea, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.4,0.42,0.44,0.39,0.33,0.33,0.37,0.35,0.37,0.33
Democratic People's Republic of Korea, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , ,6.09,6.06,6.42,6.64,6.1,5.89,6.62,6.64,6.55
Democratic People's Republic of Korea, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,1.47,1.54,1.68,1.66,1.69,1.71,1.74,1.74,1.6
Democratic People's Republic of Korea, SDG 6.4.2. Water Stress, %, E, , , , , , ,27.41,27.54,27.74,27.74,27.74,27.74,27.74,27.74,27.74
Democratic Republic of the Congo, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,0.01,0.01, ,0.01, , , , , , 
Democratic Republic of the Congo, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , ,0.01, ,0.01,0.01,0.01,0.01,0.01,0.01
Democratic Republic of the Congo, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,33.54,27.72,38.94,41.69,44.04,61.59,72.35,99.16,104.25,107.24
Democratic Republic of the Congo, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.73,0.22,0.19,0.19,0.21,0.25,0.27,0.31,0.36,0.42
Democratic Republic of the Congo, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,18.42,19.71,15.83,19.06,21.47,22.12,24.33,29.7,32.65,40.81
Democratic Republic of the Congo, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,18.21,19,18.93,21.94,24.08,28.3,32.11,41.53,44.63,50.83
Democratic Republic of the Congo, SDG 6.4.2. Water Stress, %, E, , , , , ,0.16,0.19,0.21,0.23,0.23,0.23,0.23,0.23,0.23,0.23
Denmark, Agricultural water withdrawal as % of total renewable water resources, %, E, ,3,7.67,7.67,11.67,4.92,3.22,2.75,2.91,1.96,4.02,3.1,6.46,7.96,8.79
Denmark, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, ,409.46,739.72,790.54,120.54,280.84,632.75,880.4,1186.45,1405.49,749.12,413.5,1548.7,1731.2,1320.4
Denmark, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , ,3.37,5.3,3.01,4.63,0.78,1.31,1.32
Denmark, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, ,168.73,127.57,142.63,169.42,281.89,355.65,384.7,425.42,454.9,467.48,476.68,528.38,560.31,540.49
Denmark, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , ,366.69,432.79,337.28,342.47,320.35,307.92,288.42
Denmark, SDG 6.4.2. Water Stress, %, E, ,19.47,32.59,32.59,46.11,27.75,20.53,17.67,17.01,15.02,21.87,19.7,21.95,24.22,26.4
Djibouti, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , ,2.33, ,1, , , , , , , , 
Djibouti, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,1.44, ,1,1,1,1,1,1,1,1
Djibouti, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , ,3.46,4.89,8.21,8.74,9.85,13.28,12.49,9.31,9.47,13.09,13.73
Djibouti, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , ,440.38,52.78,37.44,39.47,44.32,51.21,70.8,97.52,129.37,144.67,169.97
Djibouti, SDG 6.4.2. Water Stress, %, E, , , , ,2.67, ,6.33, , , , , , , , 
Djibouti, SDG 6.4.2. Water Stress, %, I, , , , , ,5.11, ,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33
Dominica, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , , , , , ,0.5, , , , 
Dominica, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , , , , , ,0.5,0.5,0.5,0.5
Dominica, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , , , , , , , , 
Dominica, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , , , , , ,18.34,18.19,17.86,17.55,15.49
Dominica, SDG 6.4.2. Water Stress, %, E, , , , , , ,8.3, , , ,10, , , , 
Dominica, SDG 6.4.2. Water Stress, %, I, , , , , , , ,8.3,8.58,9.15, ,10,10,10,10
Dominican Republic, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,17.87, ,19.09, ,24.32, ,32.18, , 
Dominican Republic, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,32.15, ,18.36, ,21.18, ,27.46, ,32.18,32.18
Dominican Republic, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , , ,158.05,75.71,44.87,36.31,24.62,24.81,28.57,31.82,36.2
Dominican Republic, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.17,0.19,0.22,0.22,0.19,0.16,0.16,0.17,0.22
Dominican Republic, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , ,31.38,32.23,33.02,36.34,40.2,43.37,50.82,56.73,57.27
Dominican Republic, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,6.13,6.38,6.68,7.07,6.97,6.74,7,7.8,8.2
Dominican Republic, SDG 6.4.2. Water Stress, %, E, , , , , , ,26.96,28.26,30.21,33.95,39.55,39.55,39.55,39.55,39.55
Ecuador, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,1.83, ,1.83, , , , , , 
Ecuador, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , ,1.83, ,1.83,1.83,1.83,1.83,1.83,1.83
Ecuador, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , , ,45.18,34.05,37.32,43.79,48.97,60.65,54.89,56.27,51.76
Ecuador, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.34,0.3,0.34,0.38,0.49,0.52,0.67,0.68,0.63
Ecuador, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , ,27.23,29.47,28.61,29.27,32.28,35.33,40.62,41.14,39.44
Ecuador, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,4.79,5.12,6.07,6.55,7.32,8.39,8.88,9.03,8.52
Ecuador, SDG 6.4.2. Water Stress, %, E, , , , , , ,6.41,6.56,6.78,6.78,6.78,6.78,6.78,6.78,6.78
Egypt, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,88.19,102.61, , , ,116.52,106.96,108.43,106.7, 
Egypt, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , ,105.39,109.57,112.35, , , , ,106.7
Egypt, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,8.74,12.69,15.49,23.09,30.25,47.58,89.29,91.2,20.14,21.83
Egypt, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.42,0.38,0.36,0.45,0.49,0.55,0.53,0.58,0.65,0.75
Egypt, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,18.22,16.67,15.68,13.79,14.54,14.78,16.29,17,17.83,19.91
Egypt, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , ,2.18,2.36,2.45,2.68,3,3.4,4.1,4.35,4.39,4.87
Egypt, SDG 6.4.2. Water Stress, %, E, , ,87.8,91.29,94.78,106.52,103.88,109.99,119.15,125.26,134.43,131.69,110.93,141.17,141.17
El Salvador, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,2.89, ,5.45, , , , , , 
El Salvador, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,1.88, ,3.91, ,5.45,5.45,5.45,5.45,5.45,5.45
El Salvador, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,21.18,18.16,19.41,19.26,20.18,20.59,22.54,23.87,24.91,23.05
El Salvador, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.24,0.1,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.03
El Salvador, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,30.16,28.38,26.83,25.43,26.7,27.63,29.31,31.45,33.03,32.45
El Salvador, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,13.25,11,9.36,7.66,8.04,8.29,8.86,9.47,9.92,9.6
El Salvador, SDG 6.4.2. Water Stress, %, E, , , , , ,6.06,8.58,10.43,13.21,10.79,7.16,4.73,2.36,2.42,2.43
Equatorial Guinea, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , , , , , , , , , , 
Equatorial Guinea, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , , , , , , , , , 
Equatorial Guinea, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,113.25,846.86,1636.84,2667.09,3241.82,3238.78,3858.4,2563.53,2117.58,1401.19
Equatorial Guinea, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,29.76,52.63,111.98,108.82,134.86,206.76,222.81,332.33,299.16,316.81
Equatorial Guinea, SDG 6.4.2. Water Stress, %, E, , , , , ,0.13,0.16,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Eritrea, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,3.96, , , , , , , , 
